,CustID,AgentBonus,Age,CustTenure,Channel,Occupation,EducationField,Gender,ExistingProdType,Designation,NumberOfPolicy,MaritalStatus,MonthlyIncome,Complaint,ExistingPolicyTenure,SumAssured,Zone,PaymentMethod,LastMonthCalls,CustCareScore,SilWidth,Cluster
0,7000000,4409,21-39,4.0,Agent,Salaried,Graduate,Female,3,Manager,2.0,Single/Unmarried,20993.0,1,2.0,806761.0,North,Half Yearly,5,2.0,0.07342666997449025,1
1,7000001,2214,1-20,2.0,Third Party Partner,Salaried,Graduate,Male,4,Manager,4.0,Divorced,20130.0,0,3.0,294502.0,North,Yearly,7,3.0,0.040148386966782836,2
2,7000002,4273,21-39,4.0,Agent,Free Lancer,Post Graduate,Male,4,Executive,3.0,Single/Unmarried,17090.0,1,2.0,619999.6992670636,North,Yearly,0,3.0,0.050277547968516516,2
3,7000003,1791,1-20,14.469026548672566,Third Party Partner,Salaried,Graduate,Female,3,Executive,3.0,Divorced,17909.0,1,2.0,268635.0,West,Half Yearly,0,5.0,0.11166551185485811,1
4,7000004,2955,1-20,14.469026548672566,Agent,Small Business,Under Graduate,Male,3,Executive,4.0,Divorced,18468.0,0,4.0,366405.0,West,Half Yearly,2,5.0,0.13751322307064373,1
5,7000005,3252,1-20,14.469026548672566,Third Party Partner,Salaried,Graduate,Male,3,Executive,2.0,Single/Unmarried,18068.0,0,2.0,487836.0,North,Half Yearly,6,5.0,0.1302997863652601,1
6,7000006,3850,1-20,23.0,Agent,Salaried,Graduate,Male,4,AVP-VP,3.0,Divorced,28006.375,0,2.0,392689.0,North,Yearly,9,2.0,0.05188372939051656,2
7,7000007,2073,1-20,4.0,Agent,Small Business,Under Graduate,Female,3,Executive,4.0,Single/Unmarried,17279.0,0,2.0,369079.0,West,Half Yearly,3,3.0,0.1313247628113735,1
8,7000008,2719,1-20,11.0,Agent,Salaried,Graduate,Male,4,Manager,3.0,Divorced,20916.0,1,1.0,405143.0,West,Yearly,1,4.0,0.059827272581413515,2
9,7000009,3247,1-20,3.0,Online,Small Business,Under Graduate,Male,2,Executive,2.0,Married,17089.0,0,1.0,619999.6992670636,West,Quarterly,2,4.0,0.08766232657702239,1
10,7000010,6676,1-20,7.0,Online,Small Business,Under Graduate,Male,4,AVP-VP,2.0,Divorced,28006.375,0,3.0,902777.625,North,Yearly,8,4.0,0.02603016803889641,0
11,7000011,4455,1-20,24.5,Agent,Salaried,Graduate,Male,2,Executive,5.0,Divorced,18564.0,1,5.0,654938.0,North,Quarterly,7,3.0,0.062178937180344514,1
12,7000012,3497,1-20,7.0,Third Party Partner,Small Business,Under Graduate,Female,3,Manager,4.0,Single/Unmarried,19425.0,0,1.0,447552.0,West,Half Yearly,2,2.0,0.11397379391964856,1
13,7000013,3648,21-39,22.0,Online,Small Business,Under Graduate,Female,3,Manager,3.0,Married,20265.0,0,1.0,383009.0,West,Half Yearly,2,2.0,0.10281133359131162,1
