,AgentBonus,Age,CustTenure,ExistingProdType,NumberOfPolicy,MonthlyIncome,Complaint,ExistingPolicyTenure,SumAssured,LastMonthCalls,CustCareScore,Channel_Online,Channel_Third Party Partner,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,EducationField_Engineer,EducationField_Graduate,EducationField_MBA,EducationField_Post Graduate,EducationField_Under Graduate,Gender_Male,Designation_Exe,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,MaritalStatus_Married,MaritalStatus_Single,Zone_North,Zone_South,Zone_West,PaymentMethod_Monthly,PaymentMethod_Quarterly,PaymentMethod_Yearly,Clus_kmeans,Agglo_Clusters,sil_width
0,4409,22.0,4.0,3,2.0,20993.0,1,2.0,806761.0,5,2.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0.10076334030017235
1,2214,11.0,2.0,4,4.0,20130.0,0,3.0,294502.0,7,3.0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,0.09881333435141759
2,4273,26.0,4.0,4,3.0,17090.0,1,2.0,578976.5,0,3.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,4,0.006625404952393364
3,1791,11.0,13.0,3,3.0,17909.0,1,2.0,268635.0,0,5.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0.1023630041571643
4,2955,6.0,13.0,3,4.0,18468.0,0,4.0,366405.0,2,5.0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,4,0.19470703003097517
5,3252,7.0,13.0,3,2.0,18068.0,0,2.0,487836.0,6,5.0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0.10996043568510912
6,3850,12.0,23.0,4,3.0,34999.0,0,2.0,392689.0,9,2.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0,0.01822571456726962
7,2073,6.0,4.0,3,4.0,17279.0,0,2.0,369079.0,3,3.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,4,0.1867464530310761
8,2719,8.0,11.0,4,3.0,20916.0,1,1.0,405143.0,1,4.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,0.10959083951519948
9,3247,6.0,3.0,2,2.0,17089.0,0,1.0,578976.5,2,4.0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,2,4,0.0603223249768024
10,6676,20.0,7.0,4,2.0,21606.0,0,3.0,1048182.0,8,4.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,0.13741842827337555
11,4455,18.0,27.0,2,5.0,18564.0,1,5.0,654938.0,7,3.0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,0.0465577599025231
12,3497,10.0,7.0,3,4.0,19425.0,0,1.0,447552.0,2,2.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,4,0.18534337271795995
13,3648,22.0,22.0,3,3.0,20265.0,0,1.0,383009.0,2,2.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,4,0.1689969962771452
14,4311,26.0,17.0,3,3.0,21553.0,0,1.0,732802.0,0,2.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0.11158279012983145
15,3402,7.0,3.0,3,2.0,21261.0,0,5.0,547683.0,7,2.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,0.2752007472900406
16,1930,12.0,4.0,4,5.0,19298.0,0,2.0,245085.0,0,3.0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,4,0.23421826159861955
17,2180,9.0,11.0,3,2.0,21804.0,1,1.0,287813.0,7,2.0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,0.08684415823086813
18,2258,5.0,5.0,3,3.0,18815.0,1,1.0,392857.0,0,3.0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,4,0.1686192071553673
19,4258,13.0,21.0,3,2.0,17741.0,1,3.0,847310.0,7,2.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0.18811612019169602
20,3034,12.0,18.0,3,5.0,21673.0,1,1.0,324662.0,0,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,0.1897251008164121
21,4981,5.0,25.0,3,2.0,22639.0,0,1.0,826776.0,9,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0.11571387800583971
22,3466,13.0,3.0,2,4.0,17328.0,1,1.0,374285.0,2,4.0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,4,0.048517418417625906
23,3431,7.0,14.0,3,2.0,17153.0,0,2.0,578976.5,7,3.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,4,0.10342291574693085
24,4969,30.0,25.0,4,2.0,19876.0,0,4.0,954048.0,2,5.0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,0.08445053954338869
25,3903,20.0,8.0,3,5.0,24396.0,0,5.0,640151.0,3,2.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2,4,0.18648411987184543
26,3556,14.0,21.0,5,2.0,25400.0,0,4.0,540512.0,8,2.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2,4,0.17401953631890657
27,3756,8.0,15.0,4,3.0,23474.0,0,6.0,386852.0,8,5.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0.08278459738892104
28,2998,12.0,3.0,3,3.0,24981.0,0,1.0,599544.0,7,2.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0.09903864171011238
29,5223,26.0,31.0,4,4.0,27490.0,0,2.0,851365.0,7,3.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3,4,-0.03258689664006007
30,4414,13.0,9.0,3,5.0,17657.0,1,4.0,560610.0,4,4.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,4,0.28716237024133323
31,6576,7.0,26.0,3,2.0,28591.0,1,16.0,749656.0,0,2.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,4,-0.044954452235385724
32,4122,16.0,16.0,4,5.0,21696.0,0,2.0,783226.0,1,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,4,0.12281031661702446
33,2729,8.0,5.0,3,3.0,17058.0,0,2.0,578976.5,5,2.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0.18101719731613622
34,2625,13.0,8.0,4,2.0,23865.0,0,2.0,393773.0,8,4.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,4,0.14662124153503778
35,5235,5.0,10.0,3,5.0,20940.0,0,13.0,738135.0,5,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0.12193072100373294
36,2928,18.0,6.0,3,4.0,20914.0,0,4.0,494825.0,7,2.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0.11012139825212659
37,2291,13.0,2.0,4,4.0,17622.0,0,2.0,341338.0,1,4.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,4,0.18141000986966316
38,6524,7.0,20.0,3,2.0,27185.0,1,13.0,1246160.0,7,3.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,3,4,0.0031085904116862004
39,5122,5.0,26.0,3,3.0,25609.0,0,2.0,793879.0,13,2.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4,0.08205589886068565
40,2708,16.0,14.0,5,3.0,19345.0,0,1.0,365621.0,4,3.0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,4,0.16647627211127478
